[2025-03-11 16:45:37] wallysabangan2024    | superadmin | Added position: President with max vote: 1
[2025-03-11 16:45:51] wallysabangan2024    | superadmin | Deleted position: President
[2025-03-11 16:55:06] wallysabangan2024    | superadmin | Added voter: 202320023
[2025-03-11 16:55:34] wallysabangan2024    | superadmin | Added voter: 202320024
[2025-03-11 16:55:58] wallysabangan2024    | superadmin | Added voter: 202120023
[2025-03-11 16:57:54] wallysabangan2024    | superadmin | Added voter: 202351599
[2025-03-11 16:59:07] wallysabangan2024    | superadmin | Added voter: 202312026
[2025-03-11 16:59:24] wallysabangan2024    | superadmin | Added position: President with max vote: 1
[2025-03-11 17:00:15] wallysabangan2024    | superadmin | Added voter: 201216528
[2025-03-11 17:09:54] wallysabangan2024    | superadmin | Deleted voter: 202351599
[2025-03-11 17:10:38] wallysabangan2024    | superadmin | Added voter: 202320045
[2025-03-11 17:10:45] wallysabangan2024    | superadmin | Updated voter from '202320045' to '202320046'
[2025-03-11 17:10:59] wallysabangan2024    | superadmin | Added voter: 8951919
[2025-03-11 17:11:18] wallysabangan2024    | superadmin | Deleted voter: 202320046
[2025-03-11 17:11:30] wallysabangan2024    | superadmin | Deleted voter: 8951919
