[2025-03-10 02:37:19] 202320023            | student    | Successful authentication
[2025-03-10 02:37:19] unknown              | student    | New session created
[2025-03-10 02:37:19] 202320023            | student    | Session created
[2025-03-10 02:51:57] 202320023            | student    | Successful authentication
[2025-03-10 02:51:57] unknown              | student    | New session created
[2025-03-10 02:51:57] 202320023            | student    | Session created
[2025-03-10 11:50:55] 202320023            | student    | Successful authentication
[2025-03-10 11:50:55] unknown              | student    | New session created
[2025-03-10 11:50:55] 202320023            | student    | Session created
[2025-03-10 11:59:34] 202320023            | student    | Successful authentication
[2025-03-10 11:59:34] unknown              | student    | New session created
[2025-03-10 11:59:34] 202320023            | student    | Session created
[2025-03-10 12:04:40] 202320023            | student    | Successful authentication
[2025-03-10 12:04:40] unknown              | student    | New session created
[2025-03-10 12:04:40] 202320023            | student    | Session created
[2025-03-10 12:10:21] 202320023            | student    | Successful authentication
[2025-03-10 12:10:21] unknown              | student    | New session created
[2025-03-10 12:10:21] 202320023            | student    | Session created
[2025-03-10 12:15:22] 202320023            | student    | Successful authentication
[2025-03-10 12:15:22] unknown              | student    | New session created
[2025-03-10 12:15:22] 202320023            | student    | Session created
[2025-03-10 12:21:21] 202320023            | student    | Successful authentication
[2025-03-10 12:21:21] unknown              | student    | New session created
[2025-03-10 12:21:21] 202320023            | student    | Session created
